year ,pobreza_estimada_163,pobreza_min_20,pobreza_max_3,necesaria
2016,7.6,7.6,7.6,7.6
2018,6.4,6.1,7.4,2.8
2020,5.3,4.9,7.2,1.0
2022,4.5,3.9,6.9,0.4
2024,3.7,3.1,6.7,0.1
2026,3.1,2.5,6.5,0.0
2028,2.6,2,6.3,
2030,2.2,1.6,6.1,
2032,1.8,1.3,6,
2034,1.5,1,5.8,
2036,1.3,0.8,5.6,
2038,1.1,0.7,5.4,
2040,0.9,0.5,5.3,
2042,0.8,0.4,5.1,
2044,0.6,0.3,5,
2046,0.5,0.3,4.8,
2048,0.4,0.2,4.7,
2050,0.4,0.2,4.5,
2052,0.3,0.1,4.4,
2054,0.3,0.1,4.3,
2056,0.2,0.1,4.1,
2058,0.2,0.1,4,
2060,0.2,0.1,3.9,
2062,0.1,0,3.8,
2064,0.1,0,3.7,
2066,0.1,0,3.5,
2068,0.1,0,3.4,
2070,0.1,0,3.3,
2072,0.1,0,3.2,
